team_id,team,league_key,league,season_id,season,rating_team,goals_team_match,goals_conceded_team_match,possession_percentage_team,clean_sheet_team,expected_goals_team,_xg_diff_team,ontarget_scoring_att_team,big_chance_team,accurate_pass_team,accurate_long_balls_team,accurate_cross_team,touches_in_opp_box_team,expected_goals_conceded_team,interception_team,total_tackle_team,effective_clearance_team,poss_won_att_3rd_team
9770,Flamengo,bra_a,Brasileirão Série A,1000000388,2026,7.12,2.0,0.8,57.3,12.0,49.0,22.9,5.3,92.0,497.9,21.6,4.4,752.0,26.1,7.5,15.1,21.2,
10283,Palmeiras,bra_a,Brasileirão Série A,1000000388,2026,7.04,1.7,0.8,52.9,12.0,33.7,5.6,4.9,53.0,378.6,21.7,4.0,632.0,28.1,7.6,14.8,23.6,
9863,Fluminense,bra_a,Brasileirão Série A,1000000388,2026,6.98,1.6,1.3,58.0,5.0,41.8,8.1,5.6,70.0,464.2,20.1,4.0,656.0,33.7,7.3,15.1,23.6,
7877,Bahia,bra_a,Brasileirão Série A,1000000388,2026,6.95,1.5,1.3,54.6,8.0,44.1,7.6,5.0,69.0,384.9,18.4,5.1,652.0,36.5,9.6,15.4,25.8,
9781,Cruzeiro,bra_a,Brasileirão Série A,1000000388,2026,6.92,1.5,1.4,55.0,5.0,39.7,4.0,4.9,61.0,385.3,20.8,4.9,644.0,35.7,8.7,15.1,22.4,
8514,Santos,bra_a,Brasileirão Série A,1000000388,2026,6.89,1.5,1.5,50.3,6.0,37.9,2.3,4.0,57.0,357.3,19.1,3.7,560.0,35.6,9.7,18.7,26.5,
10273,Athletico Paranaense,bra_a,Brasileirão Série A,1000000388,2026,6.88,1.5,1.1,46.6,8.0,39.1,6.0,4.9,80.0,310.0,23.4,4.0,510.0,33.1,9.0,13.5,23.5,
109705,RB Bragantino,bra_a,Brasileirão Série A,1000000388,2026,6.88,1.2,1.1,49.5,8.0,39.2,6.8,5.0,59.0,299.9,28.6,5.5,606.0,32.4,8.6,15.6,25.3,
10277,São Paulo,bra_a,Brasileirão Série A,1000000388,2026,6.86,1.2,1.1,53.6,6.0,36.3,4.2,4.0,57.0,386.1,21.6,4.6,586.0,32.2,8.2,15.3,24.3,
10276,Vasco da Gama,bra_a,Brasileirão Série A,1000000388,2026,6.85,1.3,1.5,53.8,3.0,43.7,12.6,5.4,62.0,377.4,18.6,5.9,758.0,31.0,10.1,16.0,23.3,
10272,Atlético-MG,bra_a,Brasileirão Série A,1000000388,2026,6.84,1.3,1.2,49.3,6.0,37.9,5.5,4.6,70.0,363.9,24.5,3.9,563.0,32.4,8.5,12.4,25.2,
9808,Corinthians,bra_a,Brasileirão Série A,1000000388,2026,6.83,1.0,1.1,54.0,10.0,28.4,-2.3,3.7,44.0,376.9,24.9,5.1,504.0,30.7,8.5,13.8,22.5,
8517,Botafogo,bra_a,Brasileirão Série A,1000000388,2026,6.77,1.5,1.6,46.9,4.0,36.9,-4.4,5.2,62.0,310.8,21.7,4.5,575.0,41.4,7.9,15.7,24.9,
8702,Internacional,bra_a,Brasileirão Série A,1000000388,2026,6.77,1.1,1.3,48.2,6.0,41.5,7.2,4.3,59.0,310.4,21.8,4.3,658.0,34.3,8.3,16.6,23.9,
163782,Mirassol,bra_a,Brasileirão Série A,1000000388,2026,6.76,1.2,1.5,50.5,2.0,33.7,-4.6,4.6,64.0,362.2,22.5,5.1,558.0,38.3,9.2,14.0,25.9,
9767,Coritiba,bra_a,Brasileirão Série A,1000000388,2026,6.74,1.3,1.5,40.2,6.0,29.5,-16.1,3.5,45.0,254.5,20.7,3.9,443.0,45.6,8.3,13.7,32.8,
9769,Grêmio,bra_a,Brasileirão Série A,1000000388,2026,6.7,1.1,1.4,49.6,6.0,26.2,-20.8,3.6,44.0,358.2,26.8,4.6,476.0,47.0,8.9,14.4,25.0,
7733,Vitória,bra_a,Brasileirão Série A,1000000388,2026,6.68,1.0,1.5,44.3,10.0,28.0,-12.7,4.1,44.0,278.4,22.5,4.3,469.0,40.7,8.3,16.6,27.1,
1626,Remo,bra_a,Brasileirão Série A,1000000388,2026,6.68,1.1,1.7,43.0,3.0,29.5,-14.9,3.8,47.0,284.9,20.6,4.0,419.0,44.4,9.7,15.4,27.4,
197693,Chapecoense,bra_a,Brasileirão Série A,1000000388,2026,6.63,1.1,2.0,42.4,2.0,29.3,-17.4,3.4,47.0,301.3,25.6,4.9,422.0,46.7,8.6,13.3,28.2,
